Product_Name,Stock_Quantity,Total_Inventory_Value,Discounted_Revenue,Is_Best_Seller
Sourdough Bread,59.0,265.5,129.6,False
Orange,88.0,255.2,164.43,False
Sardines,91.0,546.0,162.0,False
Olive Oil,28.0,168.0,205.2,False
Carrot,51.0,76.5,59.4,False
Black Tea,46.0,230.0,288.0,False
Pear,82.0,364.9,120.15,False
Olive Oil,100.0,600.0,453.6,False
Ricotta Cheese,51.0,306.0,291.6,False
Black Coffee,61.0,915.0,904.5,False
White Tea,99.0,2475.0,2092.5,False
Cucumber,13.0,23.4,71.28,False
Mozzarella Cheese,45.0,315.0,522.9,False
Broccoli,73.0,292.0,169.2,False
Eggplant,39.0,117.0,137.7,False
Trout,29.0,348.0,918.0,False
Heavy Cream,12.0,48.0,72.0,False
Bell Pepper,96.0,427.2,296.37,False
Onion,35.0,70.0,136.8,False
Sardines,89.0,534.0,324.0,False
Mango,60.0,270.0,105.3,False
Arborio Rice,20.0,90.0,202.5,False
Potato,28.0,33.6,32.4,False
Corn Oil,20.0,50.0,193.5,False
Butter Biscuit,38.0,228.0,361.8,False
Peas,99.0,297.0,135.0,False
Cream,92.0,230.0,162.0,False
Spinach,41.0,98.4,127.44,False
Sardines,44.0,264.0,486.0,False
White Sugar,47.0,94.0,52.2,False
Bread Flour,21.0,31.5,51.3,False
Cucumber,85.0,153.0,103.68,False
Swiss Cheese,29.0,232.0,424.8,False
Peanut Oil,64.0,256.0,183.6,False
Blueberries,66.0,660.0,216.0,False
Chocolate Biscuit,75.0,375.0,310.5,False
Cheese,53.0,477.0,453.6,False
Palm Oil,43.0,77.4,53.46,False
Eggplant,74.0,222.0,221.4,False
Garlic,27.0,189.0,573.3,False
Jasmine Rice,91.0,432.25,218.02,False
Rice Flour,52.0,104.0,171.0,False
Zucchini,43.0,107.5,148.5,False
Multigrain Bread,56.0,179.2,192.96,False
Ricotta Cheese,66.0,396.0,232.2,False
Bread Flour,84.0,126.0,124.2,False
Cottage Cheese,37.0,185.0,306.0,False
Whipped Cream,29.0,116.0,216.0,False
Almond Flour,13.0,123.5,205.2,False
Lemon,63.0,157.5,126.0,False
Tilapia,95.0,665.0,384.3,False
Lettuce,58.0,116.0,95.4,False
Peanut Oil,57.0,228.0,201.6,False
Sardines,33.0,198.0,529.2,False
Arabica Coffee,62.0,1240.0,414.0,False
Coconut,89.0,445.0,171.0,False
Cod,23.0,184.0,453.6,False
Banana,56.0,5512.08,3100.54,False
Black Rice,86.0,524.6,439.2,False
Pomegranate,60.0,360.0,518.4,False
Pineapple,70.0,245.0,138.6,False
Peach,47.0,188.0,334.8,False
Arborio Rice,95.0,427.5,243.0,False
Plum,20.0,77.0,211.36,False
Sushi Rice,19.0,81.7,224.46,False
Arabica Coffee,74.0,1554.0,1568.7,False
Pear,61.0,274.5,97.2,False
Sourdough Bread,34.0,136.0,100.8,False
Pear,29.0,130.5,125.55,False
Heavy Cream,14.0,58.8,105.84,False
White Rice,20.0,36.0,100.44,False
Cauliflower,40.0,128.0,60.48,False
Canola Oil,91.0,209.3,89.01,False
Avocado Oil,99.0,990.0,846.0,False
Bread Flour,34.0,51.0,66.15,False
Gouda Cheese,100.0,700.0,126.0,False
Black Rice,79.0,474.0,140.4,False
Greek Yogurt,62.0,186.0,135.0,False
Tuna,25.0,450.0,583.2,False
Buttermilk,47.0,117.5,108.0,False
Orange,15.0,45.0,151.2,False
Pomegranate,19.0,114.0,318.6,False
Tuna,58.0,1044.0,405.0,False
Sour Cream,11.0,44.0,302.4,False
Rice Flour,99.0,198.0,64.8,False
Long Grain Rice,26.0,39.0,102.6,False
Bell Pepper,70.0,315.0,93.15,False
Bell Pepper,50.0,225.0,279.45,False
Pineapple,55.0,192.5,255.15,False
Cod,31.0,248.0,295.2,False
Green Tea,63.0,504.0,669.6,False
Sardines,73.0,438.0,118.8,False
Sourdough Bread,12.0,48.0,270.0,False
Short Grain Rice,53.0,159.0,118.8,False
Powdered Sugar,68.0,170.0,155.25,False
Swiss Cheese,80.0,648.0,393.66,False
Tuna,92.0,1656.0,648.0,False
Cucumber,31.0,55.8,147.42,False
Eggplant,31.0,93.0,124.2,False
Garlic,76.0,532.0,327.6,False
Vegetable Oil,57.0,114.0,160.2,False
Whipped Cream,92.0,368.0,154.8,False
Cheddar Cheese,88.0,792.0,639.9,False
Coconut,99.0,495.0,184.5,False
Egg (Turkey),44.0,110.0,114.75,False
Herbal Tea,48.0,1488.0,1953.0,False
Sesame Oil,27.0,175.5,169.65,False
Black Rice,34.0,209.1,498.15,False
Orange,41.0,123.0,237.6,False
Black Tea,56.0,280.0,234.0,False
Asparagus,22.0,110.0,441.0,False
Palm Oil,40.0,72.0,115.02,False
Swiss Cheese,50.0,400.0,302.4,False
Mango,89.0,427.2,198.72,False
Egg (Turkey),76.0,190.0,155.25,False
Whole Wheat Flour,67.0,184.25,74.25,False
Robusta Coffee,62.0,620.0,558.0,False
Watermelon,75.0,225.0,243.0,False
Green Coffee,75.0,937.5,371.25,False
Cream,29.0,72.5,144.0,False
Oatmeal Biscuit,34.0,170.0,346.5,False
Green Tea,15.0,120.0,432.0,False
Anchovies,88.0,880.0,882.0,False
Cheddar Cheese,40.0,360.0,324.0,False
Avocado Oil,10.0,100.0,216.0,False
Arabica Coffee,21.0,441.0,378.0,False
Trout,75.0,900.0,961.2,False
Cod,56.0,448.0,712.8,False
Rye Bread,69.0,207.0,264.6,False
Basmati Rice,56.0,252.0,279.45,False
White Sugar,24.0,48.0,36.0,False
Sourdough Bread,30.0,135.0,129.6,False
White Tea,36.0,900.0,787.5,False
White Bread,93.0,232.5,171.0,False
Mozzarella Cheese,96.0,672.0,453.6,False
Peanut Oil,60.0,240.0,338.4,False
Gouda Cheese,97.0,679.0,270.9,False
Chocolate Biscuit,11.0,55.0,396.0,False
Pomegranate,14.0,84.0,464.4,False
Sunflower Oil,88.0,220.0,56.25,False
Jasmine Rice,24.0,114.0,149.62,False
Haddock,93.0,837.0,631.8,False
Black Rice,68.0,408.0,199.8,False
Rye Bread,28.0,78.4,78.12,False
Lime,21.0,42.0,77.4,False
Pomegranate,92.0,552.0,172.8,False
Robusta Coffee,68.0,680.0,351.0,False
Multigrain Bread,46.0,161.0,214.2,False
Cucumber,47.0,82.25,77.18,False
Olive Oil,52.0,312.0,540.0,False
Mushrooms,51.0,306.0,280.8,False
Egg (Goose),14.0,35.0,132.75,False
Greek Yogurt,62.0,3172.54,4236.88,False
Peach,40.0,160.0,252.0,False
White Tea,50.0,1275.0,665.55,False
Sushi Rice,77.0,327.25,160.65,False
Strawberries,31.0,182.9,244.26,False
Mushrooms,35.0,227.5,514.8,False
Broccoli,31.0,124.0,248.4,False
White Bread,56.0,140.0,126.0,False
Greek Yogurt,90.0,270.0,189.0,False
Canola Oil,79.0,181.7,190.44,False
Lime,29.0,58.0,145.8,False
Canola Oil,46.0,105.8,97.29,False
Blueberries,42.0,420.0,333.0,False
Mozzarella Cheese,16.0,115.2,362.88,False
Tuna,89.0,1602.0,1231.2,False
White Tea,20.0,500.0,1642.5,False
Black Coffee,37.0,555.0,1269.0,False
Bread Flour,97.0,145.5,47.25,False
Feta Cheese,98.0,686.0,579.6,False
Kiwi,37.0,222.0,253.8,False
Digestive Biscuit,97.0,388.0,205.2,False
Arabica Coffee,97.0,1940.0,1332.0,False
Lemon,90.0,225.0,159.75,False
Arabica Coffee,46.0,920.0,1062.0,False
Broccoli,40.0,160.0,309.6,False
Kale,77.0,308.0,172.8,False
Bread Flour,62.0,93.0,43.2,False
Herbal Tea,59.0,1770.0,1863.0,False
Blueberries,23.0,230.0,360.0,False
Digestive Biscuit,39.0,156.0,352.8,False
Gouda Cheese,68.0,476.0,333.9,False
Almond Flour,75.0,712.5,367.65,False
Chocolate Biscuit,96.0,480.0,202.5,False
Haddock,17.0,153.0,810.0,False
Egg (Duck),23.0,23.0,75.6,False
Peach,15.0,60.0,133.2,False
Mackerel,71.0,532.5,351.0,False
Egg (Goose),97.0,242.5,74.25,False
Zucchini,29.0,72.5,119.25,False
Bell Pepper,46.0,211.6,397.44,False
Cheese,76.0,722.0,513.0,False
Zucchini,59.0,147.5,121.5,False
Orange,92.0,285.2,220.41,False
Kiwi,28.0,168.0,378.0,False
Coconut,19.0,95.0,432.0,False
Butter,85.0,255.0,121.5,False
Bread Flour,57.0,85.5,71.55,False
Broccoli,95.0,380.0,187.2,False
Sushi Rice,84.0,378.0,157.95,False
Rice Flour,31.0,62.0,68.4,False
Pear,41.0,184.5,230.85,False
Feta Cheese,97.0,679.0,598.5,False
Milk,43.0,43.0,75.6,False
Palm Oil,74.0,133.2,50.22,False
Bread Flour,70.0,105.0,36.45,False
Cheese,69.0,634.8,231.84,False
Carrot,67.0,100.5,90.45,False
Short Grain Rice,18.0,54.0,164.7,False
Arabica Coffee,22.0,462.0,567.0,False
Grapes,88.0,484.0,460.35,False
Tilapia,78.0,546.0,396.9,False
Olive Oil,83.0,498.0,253.8,False
Robusta Coffee,42.0,441.0,321.3,False
Peas,49.0,147.0,221.4,False
Brown Rice,17.0,42.5,101.25,False
Buttermilk,52.0,124.8,45.36,False
Mushrooms,79.0,474.0,297.0,False
Palm Oil,35.0,63.0,100.44,False
Cucumber,76.0,136.8,35.64,False
Swiss Cheese,93.0,744.0,669.6,False
Halibut,40.0,800.0,702.0,False
Trout,19.0,218.5,993.6,False
Vegetable Oil,70.0,140.0,180.0,False
Digestive Biscuit,90.0,360.0,226.8,False
Digestive Biscuit,77.0,308.0,223.2,False
Apricot,38.0,190.0,148.5,False
Tilapia,93.0,651.0,453.6,False
Evaporated Milk,23.0,46.0,113.4,False
Green Tea,51.0,387.6,656.64,False
Heavy Cream,57.0,228.0,82.8,False
Papaya,59.0,265.5,255.15,False
Blueberries,89.0,890.0,711.0,False
Blueberries,53.0,530.0,495.0,False
Plum,11.0,42.9,140.4,False
Yogurt,59.0,103.25,144.9,False
Onion,34.0,68.0,162.0,False
Tuna,25.0,450.0,502.2,False
Anchovies,81.0,810.0,855.0,False
Apple,81.0,283.5,132.3,False
Watermelon,71.0,213.0,218.7,False
Cauliflower,52.0,130.0,126.0,False
Greek Yogurt,26.0,78.0,67.5,False
Haddock,84.0,756.0,486.0,False
Blueberries,28.0,280.0,432.0,False
Strawberries,94.0,564.0,216.0,False
Kiwi,47.0,282.0,378.0,False
Coconut Sugar,20.0,100.0,319.5,False
Tomato,84.0,210.0,193.5,False
Cheese,100.0,900.0,712.8,False
Milk,74.0,74.0,21.6,False
Green Coffee,27.0,324.0,950.4,False
Eggplant,91.0,273.0,113.4,False
Grapes,82.0,451.0,193.05,False
Bread Flour,84.0,126.0,112.05,False
Halibut,18.0,360.0,1026.0,False
Sourdough Bread,12.0,54.0,303.75,False
Black Rice,85.0,552.5,555.75,False
Butter Biscuit,33.0,198.0,108.0,False
Tilapia,59.0,413.0,359.1,False
Grapes,22.0,121.0,168.3,False
Gouda Cheese,67.0,469.0,459.9,False
Cheese,78.0,702.0,486.0,False
Lemon,72.0,176.4,55.12,False
Heavy Cream,63.0,252.0,75.6,False
White Bread,30.0,75.0,218.25,False
Arabica Coffee,36.0,720.0,1638.0,False
Grapes,88.0,484.0,282.15,False
Banana,95.0,5112.9,4214.11,False
Broccoli,30.0,120.0,219.6,False
Green Beans,31.0,62.0,127.8,False
Cod,16.0,128.0,583.2,False
White Sugar,14.0,28.0,70.2,False
Tomato,44.0,110.0,184.5,False
Long Grain Rice,69.0,103.5,45.9,False
Long Grain Rice,71.0,106.5,89.1,False
Carrot,92.0,147.2,43.2,False
Peanut Oil,49.0,196.0,162.0,False
Pomegranate,52.0,312.0,205.2,False
Egg (Turkey),56.0,140.0,184.5,False
Strawberries,16.0,97.6,274.5,False
Zucchini,52.0,130.0,81.0,False
Trout,91.0,1046.5,838.35,False
Mango,58.0,272.6,359.55,False
Halibut,47.0,940.0,1098.0,False
Rye Bread,50.0,150.0,189.0,False
Sour Cream,43.0,172.0,212.4,False
Cheddar Cheese,68.0,605.2,632.79,False
Egg (Turkey),19.0,47.5,148.5,False
Swiss Cheese,70.0,560.0,511.2,False
Eggplant,97.0,291.0,78.3,False
Sunflower Oil,87.0,217.5,186.75,False
White Tea,58.0,1450.0,1912.5,False
Coconut,16.0,80.0,94.5,False
Pineapple,65.0,227.5,78.75,False
Basmati Rice,15.0,67.5,275.4,False
Bell Pepper,75.0,337.5,105.3,False
Vanilla Biscuit,80.0,440.0,311.85,False
Orange,84.0,239.4,123.12,False
Eggplant,17.0,51.0,132.3,False
Evaporated Milk,64.0,121.6,145.35,False
Whipped Cream,76.0,304.0,234.0,False
Sesame Oil,77.0,500.5,169.65,False
Cream,18.0,45.0,175.5,False
Coconut Sugar,51.0,255.0,94.5,False
Asparagus,68.0,340.0,378.0,False
Wild Rice,46.0,460.0,567.0,False
Long Grain Rice,98.0,147.0,40.5,False
Onion,50.0,100.0,54.0,False
Salmon,88.0,1320.0,823.5,False
Potato,26.0,31.2,69.12,False
Green Coffee,43.0,516.0,950.4,False
Powdered Sugar,46.0,115.0,121.5,False
Cauliflower,19.0,46.55,154.35,False
Kale,61.0,244.0,273.6,False
Garlic,43.0,301.0,598.5,False
Green Tea,80.0,680.0,619.65,False
Green Tea,34.0,272.0,698.4,False
Green Tea,88.0,704.0,561.6,False
Cottage Cheese,89.0,445.0,423.0,False
Wild Rice,26.0,260.0,360.0,False
Pear,26.0,117.0,372.6,False
Peach,37.0,148.0,334.8,False
Yogurt,76.0,133.0,97.65,False
Feta Cheese,80.0,560.0,403.2,False
Sweet Potato,100.0,200.0,176.4,False
Butter,21.0,65.1,178.56,False
Coconut Oil,33.0,165.0,270.0,False
Apple,43.0,150.5,122.85,False
Mushrooms,34.0,210.8,323.64,False
Mackerel,82.0,615.0,445.5,False
Whole Wheat Bread,17.0,59.5,292.95,False
Sushi Rice,36.0,171.0,312.08,False
Cod,65.0,520.0,403.2,False
Papaya,45.0,202.5,141.75,False
Egg (Goose),35.0,87.5,213.75,False
Bread Flour,96.0,144.0,109.35,False
Coconut,56.0,280.0,189.0,False
Ricotta Cheese,49.0,294.0,205.2,False
Raw Sugar,100.0,150.0,102.6,False
Haddock,30.0,270.0,801.9,False
Papaya,20.0,90.0,141.75,False
Sesame Oil,85.0,552.5,269.1,False
Green Beans,86.0,180.6,185.22,False
Sourdough Bread,65.0,260.0,360.0,False
Cottage Cheese,67.0,335.0,157.5,False
Ricotta Cheese,88.0,528.0,124.2,False
Robusta Coffee,14.0,140.0,288.0,False
Tilapia,85.0,569.5,325.62,False
Feta Cheese,74.0,518.0,132.3,False
Cheddar Cheese,21.0,189.0,558.9,False
Butter Biscuit,22.0,132.0,253.8,False
Ricotta Cheese,91.0,546.0,270.0,False
Multigrain Bread,85.0,297.5,94.5,False
Peas,12.0,36.0,124.2,False
Pomegranate,43.0,258.0,421.2,False
Yogurt,92.0,161.0,78.75,False
Watermelon,23.0,69.0,248.4,False
Egg (Duck),77.0,77.0,52.2,False
Sweet Potato,65.0,130.0,127.8,False
Banana,82.0,1255.42,1060.98,False
Swiss Cheese,20.0,160.0,360.0,False
Cheddar Cheese,31.0,279.0,510.3,False
Butter,36.0,104.4,67.86,False
Black Tea,59.0,295.0,202.5,False
Long Grain Rice,11.0,16.5,64.8,False
Black Coffee,24.0,372.0,1116.0,False
Haddock,75.0,675.0,396.9,False
Black Coffee,11.0,165.0,1201.5,False
Anchovies,60.0,600.0,306.0,False
Lemon,91.0,218.4,82.08,False
Egg (Goose),43.0,107.5,108.0,False
Bread Flour,25.0,37.5,41.85,False
Parmesan Cheese,96.0,1132.8,828.36,False
Mackerel,30.0,225.0,540.0,False
Arborio Rice,56.0,252.0,247.05,False
Whole Wheat Bread,91.0,318.5,233.1,False
White Sugar,27.0,54.0,102.6,False
Buttermilk,28.0,68.6,167.58,False
Sour Cream,92.0,368.0,82.8,False
Tuna,37.0,666.0,437.4,False
Powdered Sugar,28.0,70.0,184.5,False
Tilapia,30.0,210.0,302.4,False
Arabica Coffee,98.0,1960.0,702.0,False
Lemon,65.0,162.5,200.25,False
Rice Flour,42.0,84.0,63.0,False
Lemon,63.0,157.5,74.25,False
Broccoli,85.0,340.0,306.0,False
Egg (Duck),44.0,44.0,86.4,False
Plum,26.0,104.0,169.2,False
Coconut Sugar,49.0,245.0,418.5,False
Pomegranate,59.0,354.0,253.8,False
Raw Sugar,19.0,28.5,52.65,False
Eggplant,47.0,141.0,105.3,False
Grapes,98.0,539.0,292.05,False
Watermelon,51.0,153.0,62.1,False
Anchovies,100.0,1000.0,486.0,False
Yogurt,55.0,93.5,94.86,False
Whipped Cream,14.0,56.0,324.0,False
Egg (Quail),29.0,23.2,36.0,False
Chocolate Biscuit,100.0,500.0,211.5,False
Ricotta Cheese,49.0,294.0,378.0,False
Vegetable Oil,75.0,150.0,142.2,False
Heavy Cream,82.0,336.2,254.61,False
Cottage Cheese,68.0,326.4,388.8,False
Corn Oil,70.0,175.0,76.5,False
Salmon,49.0,735.0,1296.0,False
Mackerel,89.0,667.5,324.0,False
Cheese,88.0,792.0,453.6,False
Green Tea,39.0,312.0,201.6,False
Cauliflower,87.0,217.5,105.75,False
Oatmeal Biscuit,93.0,465.0,342.0,False
Egg (Turkey),23.0,55.2,174.96,False
Vanilla Biscuit,94.0,517.0,366.3,False
Digestive Biscuit,38.0,152.0,259.2,False
Evaporated Milk,11.0,22.0,86.4,False
White Tea,60.0,1518.0,979.11,False
Avocado Oil,50.0,500.0,243.0,False
Egg (Goose),90.0,225.0,114.75,False
Arborio Rice,86.0,387.0,89.1,False
Cauliflower,86.0,215.0,67.5,False
Almond Flour,54.0,513.0,513.0,False
Watermelon,27.0,81.0,189.0,False
Rye Bread,50.0,150.0,224.1,False
Onion,68.0,136.0,66.6,False
Sourdough Bread,22.0,92.4,234.36,False
Cheese,50.0,460.0,496.8,False
Bell Pepper,26.0,114.4,289.08,False
White Tea,62.0,1550.0,2002.5,False
Broccoli,79.0,316.0,241.2,False
Peach,73.0,292.0,270.0,False
Carrot,18.0,26.1,57.42,False
Kale,79.0,316.0,288.0,False
Arabica Coffee,23.0,460.0,558.0,False
Milk,18.0,18.0,65.7,False
Sunflower Oil,24.0,60.0,204.75,False
Watermelon,53.0,159.0,64.8,False
Yogurt,85.0,148.75,77.18,False
Sesame Oil,15.0,97.5,286.65,False
Anchovies,66.0,660.0,243.0,False
Corn Oil,17.0,42.5,51.75,False
Grapes,13.0,71.5,207.9,False
Digestive Biscuit,34.0,136.0,280.8,False
Swiss Cheese,85.0,680.0,489.6,False
Cabbage,12.0,12.0,22.5,False
Oatmeal Biscuit,82.0,410.0,94.5,False
Sourdough Bread,71.0,284.0,208.8,False
Mozzarella Cheese,58.0,406.0,390.6,False
Rice Flour,15.0,30.0,162.0,False
Pineapple,68.0,238.0,78.75,False
White Sugar,13.0,26.0,68.4,False
Sesame Oil,45.0,292.5,503.1,False
Egg (Goose),40.0,98.0,167.58,False
Black Coffee,62.0,961.0,474.3,False
Peanut Oil,79.0,316.0,165.6,False
Peas,75.0,225.0,259.2,False
Almond Flour,76.0,722.0,205.2,False
Canola Oil,96.0,220.8,126.27,False
Canola Oil,69.0,158.7,163.53,False
Butter,48.0,144.0,256.5,False
Cream,82.0,196.8,103.68,False
Zucchini,43.0,107.5,49.5,False
Green Coffee,90.0,1080.0,874.8,False
Milk,13.0,11.7,37.26,False
Cabbage,62.0,62.0,30.6,False
Coconut Sugar,17.0,85.0,342.0,False
Sesame Oil,100.0,650.0,450.45,False
All-Purpose Flour,54.0,94.5,121.28,False
Whipped Cream,98.0,401.8,328.41,False
Herbal Tea,20.0,610.0,1262.7,False
Haddock,43.0,387.0,534.6,False
Green Coffee,29.0,348.0,302.4,False
Grapes,37.0,203.5,168.3,False
Cheddar Cheese,85.0,756.5,456.57,False
Basmati Rice,26.0,114.4,213.84,False
White Tea,91.0,2275.0,1417.5,False
Ricotta Cheese,50.0,310.0,491.04,False
Trout,98.0,1176.0,669.6,False
Egg (Duck),37.0,37.0,81.0,False
White Bread,78.0,195.0,200.25,False
Cauliflower,48.0,122.4,119.34,False
Arabica Coffee,74.0,1480.0,1800.0,False
Pineapple,18.0,63.0,277.2,False
Cauliflower,95.0,235.6,205.34,False
Egg (Turkey),39.0,97.5,58.5,False
Peas,48.0,144.0,137.7,False
Strawberries,58.0,342.2,276.12,False
Greek Yogurt,39.0,117.0,126.9,False
Papaya,84.0,369.6,213.84,False
Sardines,30.0,180.0,302.4,False
Sesame Oil,14.0,91.0,298.35,False
Powdered Sugar,21.0,52.5,83.25,False
Jasmine Rice,17.0,80.75,247.95,False
Cauliflower,34.0,85.0,63.0,False
Jasmine Rice,56.0,266.0,303.53,False
Plum,64.0,249.6,210.6,False
Grapes,87.0,478.5,108.9,False
Papaya,24.0,108.0,97.2,False
Sushi Rice,47.0,197.4,120.96,False
Digestive Biscuit,61.0,244.0,262.8,False
Rye Bread,48.0,134.4,68.04,False
Chocolate Biscuit,37.0,185.0,157.5,False
Arabica Coffee,45.0,900.0,648.0,False
Bread Flour,87.0,130.5,78.3,False
Almond Flour,37.0,351.5,324.9,False
Robusta Coffee,59.0,607.7,834.3,False
Pomegranate,62.0,372.0,243.0,False
Yogurt,63.0,107.1,85.68,False
Grapes,38.0,209.0,292.05,False
Mackerel,76.0,570.0,209.25,False
Egg (Quail),34.0,27.2,69.12,False
Eggplant,25.0,75.0,153.9,False
Egg (Turkey),86.0,215.0,76.5,False
Oatmeal Biscuit,41.0,205.0,225.0,False
Cauliflower,77.0,192.5,144.0,False
Egg (Duck),41.0,41.0,27.0,False
Orange,44.0,129.8,111.51,False
Avocado Oil,53.0,530.0,198.0,False
Chocolate Biscuit,68.0,340.0,315.0,False
Swiss Cheese,96.0,768.0,511.2,False
Garlic,33.0,231.0,289.8,False
Cauliflower,33.0,82.5,202.5,False
Watermelon,90.0,270.0,221.4,False
Brown Rice,31.0,77.5,56.25,False
Asparagus,92.0,460.0,279.0,False
Cauliflower,66.0,165.0,191.25,False
Anchovies,83.0,830.0,297.0,False
Mango,84.0,420.0,135.0,False
Haddock,76.0,684.0,421.2,False
Pomegranate,26.0,156.0,442.8,False
Green Coffee,61.0,762.5,1068.75,False
Evaporated Milk,15.0,28.5,121.41,False
Apricot,73.0,365.0,391.5,False
Whole Wheat Flour,41.0,108.65,119.25,False
Avocado Oil,14.0,140.0,585.0,False
Mango,99.0,495.0,234.0,False
Asparagus,80.0,400.0,117.0,False
Eggplant,49.0,147.0,99.9,False
Grapes,25.0,137.5,202.95,False
Sesame Oil,39.0,253.5,315.9,False
Orange,94.0,272.6,148.77,False
Sardines,11.0,66.0,372.6,False
Peanut Oil,21.0,84.0,176.4,False
Kiwi,38.0,216.6,271.89,False
Palm Oil,58.0,104.4,132.84,False
Plum,85.0,327.25,200.97,False
Cauliflower,63.0,157.5,139.5,False
Coconut Oil,54.0,270.0,130.5,False
Cherry,30.0,240.0,302.4,False
Cauliflower,57.0,142.5,175.5,False
Vegetable Oil,18.0,36.0,45.0,False
Tuna,16.0,288.0,567.0,False
Buttermilk,39.0,97.5,103.5,False
Lemon,59.0,144.55,66.15,False
Salmon,79.0,1185.0,567.0,False
Egg (Quail),78.0,62.4,35.28,False
Sushi Rice,22.0,93.5,244.8,False
Egg (Chicken),10.0,2.0,18.0,False
Arborio Rice,34.0,153.0,170.1,False
Heavy Cream,74.0,296.0,234.0,False
Sushi Rice,10.0,43.0,112.23,False
Basmati Rice,11.0,49.5,117.45,False
Grapes,99.0,544.5,292.05,False
Swiss Cheese,64.0,512.0,381.6,False
Pear,58.0,258.1,248.31,False
Corn Oil,26.0,65.0,101.25,False
Raw Sugar,72.0,108.0,52.65,False
Mozzarella Cheese,36.0,255.6,172.53,False
Mushrooms,24.0,144.0,459.0,False
Onion,16.0,32.0,39.6,False
Banana,39.0,545.61,730.28,False
Zucchini,89.0,222.5,60.75,False
Cherry,57.0,456.0,316.8,False
Herbal Tea,61.0,1830.0,2430.0,False
Short Grain Rice,56.0,168.0,251.1,False
Cream,21.0,49.35,184.01,False
Grapes,59.0,324.5,366.3,False
Green Coffee,20.0,240.0,410.4,False
Rye Bread,99.0,297.0,132.3,False
Green Tea,24.0,192.0,352.8,False
Sushi Rice,78.0,339.3,270.14,False
Egg (Duck),52.0,52.0,69.3,False
Spinach,45.0,110.25,55.12,False
Apricot,89.0,445.0,220.5,False
Kiwi,63.0,365.4,104.4,False
Black Rice,49.0,306.25,421.88,False
Green Tea,26.0,208.0,662.4,False
Egg (Quail),93.0,74.4,21.6,False
Papaya,81.0,348.3,89.01,False
Heavy Cream,74.0,296.0,356.4,False
Black Tea,19.0,95.0,324.0,False
Short Grain Rice,64.0,192.0,129.6,False
Bell Pepper,49.0,220.5,210.6,False
Parmesan Cheese,99.0,1188.0,745.2,False
Buttermilk,60.0,147.0,92.61,False
Cabbage,90.0,81.0,42.12,False
Haddock,79.0,711.0,364.5,False
Egg (Chicken),22.0,4.4,5.94,False
Brown Rice,51.0,127.5,119.25,False
Arabica Coffee,65.0,1300.0,504.0,False
Whipped Cream,55.0,220.0,248.4,False
White Rice,18.0,32.4,103.68,False
Parmesan Cheese,37.0,444.0,421.2,False
Salmon,88.0,1320.0,1296.0,False
Pineapple,20.0,70.0,252.0,False
Bread Flour,99.0,148.5,108.0,False
Asparagus,46.0,220.8,254.88,False
